customer_id,recency,frequency,monetary,Segment
CS1112,61,15,1012,P2
CS1113,35,20,1490,P2
CS1114,32,19,1432,P2
CS1115,11,22,1659,P0
CS1116,203,13,857,P2
CS1117,257,17,1185,P2
CS1118,2,15,1011,P0
CS1119,11,15,1158,P0
CS1120,10,24,1677,P0
CS1121,41,26,1524,P2
CS1122,42,16,1156,P2
CS1123,109,19,1331,P2
CS1124,73,18,1127,P2
CS1125,25,12,885,P2
CS1126,179,19,1165,P2
CS1127,39,24,1676,P2
CS1128,75,26,1921,P2
CS1129,106,12,853,P2
CS1130,3,19,1185,P0
CS1131,20,14,998,P2
CS1132,27,16,1074,P0
CS1133,23,19,1413,P0
CS1134,109,16,1166,P2
CS1135,335,20,1267,P2
CS1136,27,20,1339,P0
CS1137,55,20,1380,P2
CS1138,13,24,1863,P0
CS1139,111,18,1245,P2
CS1140,28,20,1434,P0
CS1141,53,25,1778,P2
CS1142,161,22,1847,P2
CS1143,212,16,1255,P2
CS1144,156,18,1222,P2
CS1145,142,27,1967,P2
CS1146,7,16,1117,P0
CS1147,4,15,1004,P0
CS1148,83,25,1733,P2
CS1149,15,25,1768,P0
CS1150,89,14,1075,P2
CS1151,26,16,1040,P0
CS1152,6,20,1457,P0
CS1153,34,18,1274,P2
CS1154,0,23,1436,P0
CS1155,126,19,1317,P2
CS1156,9,20,1445,P0
CS1157,19,21,1427,P0
CS1158,102,18,1159,P2
CS1159,36,22,1439,P2
CS1160,44,20,1380,P2
CS1161,4,22,1389,P0
CS1162,19,24,1815,P0
CS1163,38,18,1290,P2
CS1164,17,26,2037,P0
CS1165,94,20,1335,P2
CS1166,98,19,1507,P2
CS1167,119,16,1132,P2
CS1168,111,14,916,P2
CS1169,86,18,1175,P2
CS1170,3,18,1272,P0
CS1171,1,22,1555,P0
CS1172,258,18,1306,P2
CS1173,49,21,1429,P2
CS1174,23,23,1554,P0
CS1175,52,17,1106,P2
CS1176,29,18,1401,P0
CS1177,38,17,1310,P2
CS1178,31,22,1535,P2
CS1179,46,29,2091,P2
CS1180,54,23,1637,P2
CS1181,57,27,1893,P2
CS1182,102,24,1749,P2
CS1183,12,26,1967,P0
CS1184,0,28,1999,P0
CS1185,11,27,1801,P0
CS1186,52,19,1439,P2
CS1187,22,22,1559,P0
CS1188,4,16,1010,P0
CS1189,63,23,1564,P2
CS1190,40,18,1324,P2
CS1191,66,21,1522,P2
CS1192,38,18,1313,P2
CS1193,283,15,953,P2
CS1194,9,22,1505,P0
CS1195,20,20,1378,P0
CS1196,1,23,1559,P0
CS1197,161,17,1180,P2
CS1198,11,22,1571,P0
CS1199,124,20,1344,P2
CS1200,170,21,1667,P2
CS1201,52,19,1375,P2
CS1202,54,20,1331,P2
CS1203,48,21,1536,P2
CS1204,47,17,1023,P2
CS1205,3,17,1103,P0
CS1206,157,24,1514,P2
CS1207,39,18,1310,P2
CS1208,35,15,1000,P2
CS1209,2,27,1809,P0
CS1210,98,21,1546,P2
CS1211,57,18,1218,P2
CS1212,158,17,1200,P2
CS1213,127,18,1191,P2
CS1214,7,19,1289,P0
CS1215,133,35,2362,P2
